,run,graph,diameter,edge_density,nodes,edges,objective,algorithm
1,8,football,,0.3333333333333333,6,5,edge_surplus,greedyOQC
2,8,email-EU-core,3.0,0.4972004479283314,95,2220,edge_surplus,greedyOQC
3,8,C-elegans-frontal,3.0,0.4444444444444444,9,16,edge_surplus,greedyOQC
4,8,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,4,dolphins,3.0,0.4666666666666667,6,7,edge_surplus,greedyOQC
1,4,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,4,email-EU-core,2.0,0.4989704873026767,94,2181,edge_surplus,greedyOQC
3,4,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,4,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,3,dolphins,2.0,0.6666666666666666,4,4,edge_surplus,greedyOQC
1,3,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,3,email-EU-core,2.0,0.4972004479283314,95,2220,edge_surplus,greedyOQC
3,3,C-elegans-frontal,4.0,0.3974358974358974,13,31,edge_surplus,greedyOQC
4,3,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,2,dolphins,3.0,0.4666666666666667,6,7,edge_surplus,greedyOQC
1,2,football,0.0,0.0,1,0,edge_surplus,greedyOQC
2,2,email-EU-core,2.0,0.4989704873026767,94,2181,edge_surplus,greedyOQC
3,2,C-elegans-frontal,4.0,0.4222222222222222,10,19,edge_surplus,greedyOQC
4,2,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,5,dolphins,2.0,0.6666666666666666,4,4,edge_surplus,greedyOQC
1,5,football,,0.3333333333333333,3,1,edge_surplus,greedyOQC
2,5,email-EU-core,2.0,0.4972004479283314,95,2220,edge_surplus,greedyOQC
3,5,C-elegans-frontal,3.0,0.4444444444444444,9,16,edge_surplus,greedyOQC
4,5,wiki-Vote,2.0,0.4213861386138613,101,2128,edge_surplus,greedyOQC
0,9,dolphins,3.0,0.5,5,5,modified_edge_surplus,greedyOQC
1,9,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,9,email-EU-core,3.0,0.4972004479283314,95,2220,modified_edge_surplus,greedyOQC
3,9,C-elegans-frontal,3.0,0.4444444444444444,9,16,modified_edge_surplus,greedyOQC
4,9,wiki-Vote,2.0,0.4213861386138613,101,2128,modified_edge_surplus,greedyOQC
0,0,dolphins,3.0,0.5,5,5,modified_edge_surplus,greedyOQC
0,7,dolphins,2.0,0.6666666666666666,4,4,modified_edge_surplus,greedyOQC
1,7,football,2.0,0.6666666666666666,3,2,modified_edge_surplus,greedyOQC
2,7,email-EU-core,2.0,0.4972004479283314,95,2220,modified_edge_surplus,greedyOQC
3,7,C-elegans-frontal,3.0,0.4444444444444444,9,16,modified_edge_surplus,greedyOQC
4,7,wiki-Vote,2.0,0.4213861386138613,101,2128,modified_edge_surplus,greedyOQC
0,6,dolphins,2.0,0.6666666666666666,4,4,modified_edge_surplus,greedyOQC
1,6,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,6,email-EU-core,3.0,0.4989704873026767,94,2181,modified_edge_surplus,greedyOQC
3,6,C-elegans-frontal,3.0,0.4444444444444444,9,16,modified_edge_surplus,greedyOQC
4,6,wiki-Vote,2.0,0.4226262626262626,100,2092,modified_edge_surplus,greedyOQC
0,1,dolphins,3.0,0.4666666666666667,6,7,modified_edge_surplus,greedyOQC
1,1,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,1,email-EU-core,3.0,0.4989704873026767,94,2181,modified_edge_surplus,greedyOQC
3,1,C-elegans-frontal,4.0,0.4222222222222222,10,19,modified_edge_surplus,greedyOQC
4,1,wiki-Vote,2.0,0.4226262626262626,100,2092,modified_edge_surplus,greedyOQC
0,10,dolphins,3.0,0.5,5,5,modified_edge_surplus,greedyOQC
1,10,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,10,email-EU-core,2.0,0.4989704873026767,94,2181,modified_edge_surplus,greedyOQC
3,10,C-elegans-frontal,4.0,0.3939393939393939,12,26,modified_edge_surplus,greedyOQC
4,10,wiki-Vote,2.0,0.4226262626262626,100,2092,modified_edge_surplus,greedyOQC
0,8,dolphins,3.0,0.4666666666666667,6,7,modified_edge_surplus,greedyOQC
1,8,football,1.0,1.0,2,1,modified_edge_surplus,greedyOQC
2,8,email-EU-core,2.0,0.4989704873026767,94,2181,modified_edge_surplus,greedyOQC
3,8,C-elegans-frontal,4.0,0.4222222222222222,10,19,modified_edge_surplus,greedyOQC
4,8,wiki-Vote,2.0,0.4226262626262626,100,2092,modified_edge_surplus,greedyOQC
0,4,dolphins,3.0,0.5,5,5,modified_edge_surplus,greedyOQC
1,4,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,4,email-EU-core,2.0,0.4972004479283314,95,2220,modified_edge_surplus,greedyOQC
3,4,C-elegans-frontal,3.0,0.3939393939393939,12,26,modified_edge_surplus,greedyOQC
4,4,wiki-Vote,2.0,0.4213861386138613,101,2128,modified_edge_surplus,greedyOQC
0,3,dolphins,2.0,0.6666666666666666,4,4,modified_edge_surplus,greedyOQC
1,3,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,3,email-EU-core,3.0,0.4864296233957501,98,2312,modified_edge_surplus,greedyOQC
3,3,C-elegans-frontal,4.0,0.3974358974358974,13,31,modified_edge_surplus,greedyOQC
4,3,wiki-Vote,2.0,0.4213861386138613,101,2128,modified_edge_surplus,greedyOQC
0,2,dolphins,2.0,0.6666666666666666,4,4,modified_edge_surplus,greedyOQC
1,2,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,2,email-EU-core,2.0,0.4864296233957501,98,2312,modified_edge_surplus,greedyOQC
3,2,C-elegans-frontal,4.0,0.4222222222222222,10,19,modified_edge_surplus,greedyOQC
4,2,wiki-Vote,2.0,0.4213861386138613,101,2128,modified_edge_surplus,greedyOQC
0,5,dolphins,3.0,0.5,5,5,modified_edge_surplus,greedyOQC
1,5,football,0.0,0.0,1,0,modified_edge_surplus,greedyOQC
2,5,email-EU-core,2.0,0.4972004479283314,95,2220,modified_edge_surplus,greedyOQC
3,5,C-elegans-frontal,2.0,0.4444444444444444,9,16,modified_edge_surplus,greedyOQC
4,5,wiki-Vote,2.0,0.4226262626262626,100,2092,modified_edge_surplus,greedyOQC
